,InputStoryid,InputSentence1,InputSentence2,InputSentence3,InputSentence4,RandomFifthSentenceQuiz1,RandomFifthSentenceQuiz2,AnswerRightEnding
306,2b38b3ba-ce90-414e-8114-88f601631444,tori tire hot weather .,and air condition home .,He gather money could set buy one .,"but step outsid , notic rain drop .",It becam hot dri tori go .,"tori wait buy AC unit , cooler .",2
307,0aaf9d2e-61a6-4091-b9cf-d009dd78c466,kim work extra hard week .,she learn promot grab compani .,It came new offic great benefit .,final work paid offer promot .,she happi get promot .,she sad get promot .,1
308,17591570-15e0-496c-b717-90d1993edc26,the zookeep close zoo night .,but n't check rhino cage .,It n't latch properli .,the rhino escap !,the zookeep glad find rhino sleep cage .,the news next morn show rhino run rampant .,2
309,2ab4f4dc-7b16-45f5-8b72-99d8d10be148,I bought new lamp today .,I still need set .,I 'm sure put .,My mom think go corner .,I put middl room like mom suggest .,I put night stand corner .,2
310,187b118c-c70b-4afb-9b41-5c1e09887858,"mani year ago , unit state countri .","instead , peopl live part england .",they decid want countri .,"there long war , ultim prevail .","after year , state decid return england .",the war call american revolut .,2
311,765b576d-0989-450d-93df-1b2d6c329a0c,cole garden lot veget .,He mani would throw .,He start take excess veget local church .,the church grate cole kind .,cole upset veget went wast .,all member sign thank you card cole .,2
312,9923091f-49f3-4ce5-bd9c-fd01f284bfde,"throughout day school , I complet tire .","As spanish teacher taught accent , I fall asleep .","dure lunch , I decid rest bleacher footbal field .","In addit , I fell asleep bu ride home .",I decid watch movi night .,I earli night .,2
313,6b666c82-cfcd-4447-ba48-f91fcb27c170,bob daydream drove car .,A deer jump right front road .,bob 's car slam deer !,the deer bob 's front bumper pulver !,bob daze cut forehead !,"after , bob nervou go horseback ride .",1
314,11abdce5-a150-4ea4-b76b-4ff36b7b0f6c,I went la vega .,I learn realli like slot machin .,I spent lot time .,spent lot money .,I upset I lost money .,I glad I n't spent much money slot machin .,1
315,b29a15ca-1fdf-42a3-b443-50c33f297318,chelsea get marri next week .,she need someon give away .,her father question abus jerk .,she realli n't know .,"she ask father , alway great .","she decid ask brother , honor .",2
316,5ae5571c-31f7-4d79-86f2-3c7fa9ffb6c7,austin need artwork apart .,He went art galleri downtown get inspir .,onc idea .,He went onlin bought materi .,austin went park play dog .,austin paint sever pictur similar seen .,2
317,ca031156-7d79-4928-81b5-3f9eb0cced80,robert sharon met band camp high school .,By time graduat plan marri .,now expect first great grandchild .,sharon ca n't believ much time pass fast .,but happi today day met .,she file divorc next day .,1
318,1734a9b5-938b-414f-8718-450d13658cb2,"In 2005 , I went St anselm colleg play chess .",My friend professor .,hi colleague-also chess player- play us well .,I great streak lose game !,I continu play chess hope qualifi oppon .,I think I start play footbal .,1
319,264662c6-4f40-4f03-93d1-335a268e52c5,izzi doctor .,she involv patient .,"one day , fall love patient , denni .",denni die aneurysm .,izzi heartbroken .,izzi happi .,1
320,609a7d44-9a1c-4585-b0f4-5ac7d9fc1f8f,larri alway want feel stronger .,He notic sever student school lift weight .,larri decid lift weight well .,"He start light weight , gradual tri heavier one .",eventu larri got stronger .,larri asham done .,1
321,e242bc6e-470b-4ed9-ac96-48a4d38b11ef,My roommat interview new job .,He practic everi night week make sure readi .,"when day came , dress nicest cloth .",We wait anticip hear would happen .,He got call day later say got job .,My roommat got call say fire .,1
322,5d10d46d-83a9-4468-9b05-8bdabdc5ea92,gertrud notori clumsi awkward .,her friend thought particip sport may help .,she decid tri soccer team school .,she ran field unexpectedli trip ball .,the soccer team congratul gave spot team .,"natur , accept soccer team .",2
323,b083a25d-a3c3-47be-8879-949b475d13f6,leeza walk alon near wood .,she suddenli fell unabl walk .,"she scream help , avail .",she crawl street flag someon .,leeza pain .,leeza fun .,1
324,041399bb-cd42-4cda-b36b-1917f222c0ba,"In autumn , susan plant flower seed backyard .","over cours winter , forgotten plant .","onc april came , littl flower appear backyard .","To protect new garden dog , decid fenc .",she dug flower .,"soon , susan beauti garden .",2
325,c012fc36-7315-46e0-8e7c-d262a09a423f,I went go take nap work .,As soon I laid phone rang .,It friend would n't shut new game purchas .,I lie told someon door .,I could n't sleep I unhappi lie .,So friend left went home .,1
326,1bb0fd0c-f2a7-4877-9259-dc36914b40a7,jennif hungri raini day .,"she look hous , n't much .","suddenli , notic shelf .",she look chicken noodl soup .,jennif open began eat .,jennif could n't find food went hungri .,1
327,847fb1fc-aa6c-443c-98aa-fd4af3847c73,noah bought old book thrift store .,He took home began read .,"As , someth fell page .","noah bent curious pick , eye widen .",He went back read book .,what press page four-leaf clover !,2
328,49500220-b926-41dd-9347-0edb6829edeb,gina could n't turn water hose .,the spigot without handl .,she could n't find handl hous .,final went garag look .,gina fix lunch .,gina found handl wash machin .,2
329,dea3f3e4-98c4-4614-ab9f-e370785fc7fc,I found $ 600 dollar envelop mail today .,"howev , belong neighbor .",I decid give mail instead keep .,they thank selfless .,I dishonest .,I honest .,2
330,f560dccd-209b-43fd-8bb7-6629e8a30823,"befor left , promis one day would back .",she import thing take care far away .,He miss realli miss .,"someday would back , told .",He hope never came back .,A year later return .,2
331,0d1aec48-f891-4611-80b2-b10476ea4776,oliv need new radio .,"He n't know anyth , though .",He friend help pick one .,the friend pro found good deal .,oliv sick friend 's unwant advic .,oliv grate friend .,2
332,dbd1c07c-3bbd-4753-bd93-6b7400eb2c64,tommi call girl sat next class .,He ask thought class good .,she gave frown sad 's relationship .,tommi immedi turn around .,tommi decid ask girl date .,tommi realli embarrass .,2
333,d93e5577-5d08-414e-8b8f-c2c844234408,helen live state washington .,helen want visit canada .,helen 's car broke day trip .,helen decid n't meant .,helen stay home instead plan go anoth day .,helen wonder vacat canada .,1
334,b4ea7a6d-e563-42e8-8b12-ab636510d1ae,today sarah ran race .,she need run 3 mile finish .,the race difficult .,"she n't fast , kept persev finish .",sarah lazi .,sarah glad finish .,2
335,ce784ff4-4411-43ae-8789-7dcd07692029,the town host dog dive contest .,they set larg outdoor pool step .,mani peopl came watch take pictur .,each dog took turn run jump water .,the dog attack peopl .,"A good time , even dog .",2
336,d35e7dfc-d3cf-40b2-8b67-b92572b74222,We went safari hope see big 5 everyon 's goal .,"after 10 day , seen leopard .",We heard someon say seen leopard babi today 's drive .,We disappoint ask later .,We want miss leopard .,We want see leopard .,2
337,84c97f08-5998-4059-b2e6-26307c70a656,albert young man gotten cpr certifi .,He decid celebr go eat .,"while restaur , anoth patron start choke food .",albert rush side quickli heimlich maneuv .,albert save day .,everyon angri albert .,1
338,a08255cb-edc5-49e5-a10c-a0f581a2bfe2,My daughter got word spell pre-test correct monday .,"becaus , n't take post-test friday .",she excit show test .,she told mani kid got right .,My daughter took post-test friday .,My daughter proud .,2
339,e8ccddc5-f4e5-434f-9a41-b17997d426bf,harri move england .,hi new friend kept tell tri fish chip .,"thu , harri decid go market get fish chip .",harri love fish chip !,"sadli , made ill .",harri thought steak delici .,1
340,e948a9b0-1f8a-4166-b43a-757387ea6ca0,sam john went play ultim frisbe one day .,"upon arriv field , pickup game footbal go .",sam approach ask let john play well .,"after minut talk , agre everyon play bit .",then went home .,sam john ran group boy .,1
341,5a797fa1-07d2-47f6-b160-36e10ae5e63e,tina tire everi singl morn .,she get enough sleep two job .,tina decid quit one job .,she get enough sleep function everyday .,tina well rest .,tina tire ever .,1
342,c9ed6b56-0a08-4b0b-bb46-4a05856c6b3f,jari want pick wildflow vase .,He went state park .,He pick mani kind flower .,littl jari realiz nation park .,jari pick flower state park .,jari got troubl apolog profus .,2
343,b4e4e9db-8cc5-4b39-a4c7-894ed6af9c79,My daughter list thing turn 40 .,she 30 .,one thing read bibl cover cover .,I decid read bibl support daughter .,I want daughter stop christian .,I want daughter spiritu life .,2
344,d59da61f-1141-4c74-8e7c-1e11ff2d21c8,micki alway want get thinner .,He tri fad diet avail .,He start cut back calori get exercis .,after 2 month micki start see result .,He proud hard work .,micki disappoint .,1
345,7d177568-fd50-4c13-a5a5-929a12e765c5,ami call kim .,she want find kim rude .,kim jealou ami 's boyfriend .,ami accept apolog .,ami told kim big loser .,they decid never let guy come .,2
346,ed31c050-341d-4ae2-9ec5-55da770d5e5b,lauren finish late night shift bar feel tire .,she usual like take bu home work .,"howev , tonight notic moon look beauti .",she stroll home happili bright moon .,lauren 's husband glad see feel refresh .,lauren wish took bu home .,1
347,c6637931-907e-452e-aa57-299e8801d648,noah play treehous .,He decid come day .,but saw ladder fallen lay ground !,noah way get treehous !,He glad .,He yell dad .,2
348,05fa2554-9bb2-4abc-954f-6e21b2e52a5b,there boy paintbal gun .,He wast ammo .,He trench tri stay sight .,"final , sprint toward flag .",the boy decid go swim .,He shot member team .,2
349,8d833f98-114a-420f-adb2-53884b813034,celina old .,her hip alway sore .,It hard walk .,"one day , obtain walker .",It help lot .,celina feet .,1
350,048f5a77-7c17-4071-8b0b-b8e43087132d,neil visit limerick ireland .,"there , saw beauti sight .",He saw larg love river shannon !,"after minut , agre local .",the river shannon beauti .,that neil stupid .,1
351,57046c72-5c39-47b4-88a1-6984ad1ac6b8,jay 's team practic week big game .,none player look like knew .,jay 's team lost big game handili .,jay bought team pizza tri hard .,the team ask jay could burger instead .,the team devour pizza thank jay .,2
352,dac71653-f4b0-4445-806c-ae724a693373,rachel realli want new make-up .,"howev , lack money purchas .",she went store slip eyelin purs .,she walk store without anyon catch .,rachel went home put eyelin .,rachel threw eyelin trash .,1
353,5508c74e-4105-4b4b-805f-372aa58429ea,maxin tire alway get wet rain outsid .,she consid move somewher without raini decid .,final maxin buy great new red umbrella .,she love new umbrella bring everywher .,she move desert .,she happi rain .,2
354,a24013a2-ef41-41c2-9f7e-6a709b0ae280,"one day , misti saw someth strang church .","someon left beauti , fluffi kitti church doorstep .",misti mommi took kitti home name huckl .,huckl prove funni kitti like play bag .,misti happi adopt cat .,misti want cat .,1
355,c9c7f614-e8c1-4b07-890d-2b0ffc19cd47,derek tire live home parent .,"one day , friend suggest move togeth .",He told parent .,"that night , pack stuff .",derek happi final .,derek want leav .,1
356,3acd901f-fea5-46fc-b7da-d9df8b42fe4d,veronica knew desper need drink water .,she n't realli want turn flavor powder product .,"while search idea onlin , stumbl across fruit infus .",she order cool bottl hold fruit flavor water .,veronica n't care well .,veronica tri live health .,2
357,1ee7c673-6fe4-415b-a1ac-75a6d9b25112,"after school , alex went friend 's hous play video game .",alex n't video game excit .,alex alway lose play friend .,"howev , n't care alex alway fun .",alex hate play video game .,alex like play video game .,2
358,6126881f-3a6f-421a-b2ae-b74b7a52dd96,We spent thirtieth anniversari california coast .,It chilli foggi drizzli .,I plan spend time beach water color .,On third day discov famili whale near pier .,I paint pictur whale .,I drove new york night .,1
359,98bdd522-48f8-49ed-bcda-fde95a663ee2,jenni alway like go starbuck .,one day order coffe .,"As got window pay , told alreadi paid .",the person paid .,jenni paid coffe cash .,jenni paid order person behind .,2
360,fec30953-c68e-4d9d-9698-384bfe8fe857,I becam law order fan 2011 .,I recov stroke .,when I got home I tri watch everi episod .,It hard tri bing watch 20 year 's show .,I think law order one worst show ever made .,eventu I watch .,2
361,35146100-1a33-4b70-ab26-4469198f909a,everybodi love bob play popular charact film .,bob hate noth like charact .,jim ask bob say charact 's catch phrase .,It much bob explod rage .,bob told man leav alon .,bob ask man tea .,1
362,96e98dae-7c2e-4130-b6c2-4912c0e58938,lita want watch favorit show televis .,her kid insist sit watch .,lita told chore .,her kid drag laundri basket live room .,lita order pepperoni pizza lunch .,lita fold laundri watch televis .,2
363,39c953ff-bb04-4997-a6be-3f4b07e0db56,liv jump startl loud pop .,she realiz light bulb kitchen burn .,she got footstool step .,It wobbl almost fell .,liv decid chang light bulb bathroom .,liv chang light bulb .,2
364,2b7745a1-9e3a-402d-a806-1eebfb18ad5a,mother told children would lunchtim fifteen minut .,but got import phone call .,"while talk , dog drag mud kitchen .","the kid start pester mother , still phone .",the mother felt quit frustrat .,the children 's behavior calm mother .,1
365,56b24969-0004-4731-99d6-ac4931df1b50,hector alway bought coffe local shop work .,He realiz coffe buy habit expens .,one day hector decid brew coffe home .,He proud coffe made home good .,hector kept brew coffe save money .,hector start buy coffe starbuck .,1
366,eb653573-0e05-403a-b5a4-be7bd6ba3f99,kelli found new girl school .,when walk school went look .,"when met , invit sit lunch .","when ate lunch , girl becam friend .",kelli never talk .,kelli happi made new friend .,2
367,efb927ed-be0b-41fb-b89d-1fe4f3f96f78,tommi train hard run first 5K .,dure race felt frustrat mani peopl pass .,when heard name call award shock .,He n't realiz would award age group .,He asham n't get recognit .,He proud finish first age tenth overal .,2
368,dac6c4cb-422b-436e-ac83-7853ad91d9c6,lauri go first formal danc tonight .,her date pick gave beauti rose .,lauri wore long sparkl dress .,they danc fun friend .,lauri went home cri .,lauri end night kiss date .,2
369,9f53d98f-c1d9-4082-a9c7-1a95ed3de223,neil explor histor railroad .,"He rode scranton , pennsylvania .",He realiz beauti old train depot .,He took lot photo .,neil delet photo .,neil save photo comput .,2
370,553ec373-0500-4c63-979f-a446a17f550d,bob dread first day work fast food fish joint .,He plan wait put gaudi nautic uniform .,bob got work make fish burger don uniform .,"He busi , forgot chang back street cloth",bob love outfit much show friend .,bob went work wear sailor suit .,2
371,d84fcc97-0638-4dc8-a881-596c66b75e83,A friend came visit .,I told dog bite .,she listen .,tri pet play .,My dog bit .,My dog ran away .,1
372,6001c530-a64f-4128-82db-deb6bd81e8b8,lester alway want artist .,He decid tri draw pictur flower one day .,He sit front beauti orchid begin draw .,lester 's draw come well .,He hang pictur wall live room .,He decid never draw anyth .,1
373,2ff39c6a-6eb8-4890-8e25-6b6af653046d,pablo like eat worm .,He read book school .,He fri oliv oil .,He like least month .,pablo enjoy worm view delicaci .,pablo enjoy eat worm .,1
374,5bf65083-150d-4e08-a822-fd215ecd23fe,kira alway love japanes cultur .,mani favorit movi japanes .,she decid would travel .,for year save money trip .,she spent money shoe .,It best trip life .,2
375,a6e1d6d8-ddbb-4b54-a685-c642f4076e1b,glen mood walk .,He put jacket went outsid .,"while walk sidewalk , trip bust knee open .",glen stood back limp back hous .,glen ran best marathon time ever .,glen swore 'd never walk .,2
376,e59c9bc3-f466-4fbf-8978-c6877834b2e6,jesu spent day polish furnitur .,As night approach survey work 'd done .,everyth look shini new .,jesu invit friend parti even .,they said furnitur look nice .,hi friend polish furnitur .,1
377,adaa9d18-572e-40f0-af81-c415abf793a4,I walk store recent .,"As I pass exit , I felt cold , hard steel arm .",I shock I hit car !,the driver apologet saw I hit .,I told okay walk away .,the driver car becam angri .,1
378,8cc9a757-075a-4e47-95b7-2fa63dc8870c,gina 's sister cut ankl broken glass .,the blood ran foot shoe .,when saw blood ran home .,"gina ran behind , could n't keep .",when got home ice cream .,gina 's sister went doctor .,2
379,8ef45363-9070-477a-8f1f-8d7c947ea6dc,A littl boy third grade .,He smart struggl read .,whenev read loud classmat laugh .,He start practic read everi singl day .,the littl boy accept would never improv .,"At end year , well read test .",2
380,a2878606-f05e-492b-a581-8b00346d40ca,rosi 's class littl parti .,she decid make fruit salad everyon .,she spent lot money fruit lot time prepar .,On day parti scoop huge bowl fruit salad .,rosi 's class share fruit salad .,rosi kept bowl fruit salad fridg home .,1
381,5296a3e6-0e82-4711-b67b-9e7378ffb724,kelli happi new phone .,she took everywher .,unfortun smash .,thank howev abl get fix .,the store gave fair price fix .,kelli bought new phone .,1
382,7fa2b3d7-8046-403f-9a66-8198715ef31e,"while I colleg , I met older man .",I 22 38 year old .,We good understand good time togeth .,We stay togeth whole time I .,I fond memori time .,I neg memori time .,1
383,874de2df-c863-4200-9d60-5f1c915c0709,bob want school play .,He studi part care .,He rehears line often .,"On audit day , great job .",bob proud .,bob asham .,1
384,3c516058-0aec-4a0c-906d-4b466715c38b,jacki design eighth grade hall monitor .,she envi throughout class .,classmat often put job jeopardi .,they would steal jacki 's hall pass .,the princip suspend rowdi classmat .,her classmat given award behavior .,1
385,713e6e15-793f-4951-9d47-3d4688d748a3,My dad gotten new car .,To celebr went drive .,anoth car ran stop sign crash us .,I smack window hard enough break .,I climb dad ok .,We flatten vehicl .,1
386,f595ddca-75d5-4c3e-80ca-a51170231643,My niec love frozen movi .,she alway want put .,she goe around hous sing .,she love scream let go .,she sing .,she love sport hate princess thing .,1
387,6e891313-bee9-434b-bb6e-c210c866a569,"alex dribbl court , team two point .","He glanc scoreboard , saw 5 second left .",hi mind race tri find open man .,the defend stick teammat like glue .,the buzzer went team game .,He attempt three-point miss .,2
388,e2189528-1a68-49b9-a3bc-6d4266383e80,I came librari took seat .,"when I look around , I notic kid .",He stare .,I becam frustrat got seat .,I n't mind kid .,I ask problem .,2
389,fcb6c166-4da5-4efb-8779-4ba6bdf1da2f,iva brant tri conceiv child .,they tri six month success .,"At doctor 's appoint , express discourag .",but saw doctor smile broadli .,brant cancel plan kidnap child .,the coupl happi know babi way .,2
390,f3b7819d-89cc-4dcf-a560-18d70f6f2cf9,catherin alway intrigu sport curl .,catherin love watch athlet play sport televis .,"one day , catherin decid would visit curl practic session .","At practic , one athlet invit catherin play .",catherin began practic everi day got good .,catherin thought curl look bore .,1
391,041c9cd6-3351-4287-bf7d-56e1b8808341,franci alway look forward learn drive .,final old enough driver 's licens .,franci studi hard get licens .,He pass driver 's test easili .,franci realli proud accomplish .,franci decid would rather take public transport .,1
392,4fd560d4-8d90-40f8-a572-9522f966fd97,yesterday I great time see the nutcrack .,I absolut love .,As dancer grace stage beauti .,I felt honor seen show .,I vow never see .,I want see .,2
393,dc450ec8-ab03-47b8-af48-43623c8a369e,I woke class 8:30 morn .,I drowsili got bed took shower .,I quickli ate breakfast began walk class .,"after 50 minut class , I began walk back dorm .",I decid go back class .,"when I got , I took nap .",2
394,0f29def9-37c9-4eba-a87b-154ceec40700,gari want get lisa 's attent .,one day decid write lisa poem .,"the next day school , gari see lisa hallway .",gari give lisa realli big smile hand poem .,"gari slap lisa hard , walk away .",lisa confess also crush gari .,2
395,f490c78c-ccae-49bf-a78f-54fcfb2a559b,carlo alway want visit franc .,He decid learn speak french goe .,He enrol night class studi hard .,final carlo speak french pretti well .,carlo book flight australia .,carlo make french trip pari .,2
396,a443d57f-b1c1-4d08-abff-3c968b8f9d92,lar alway want tri photographi .,"hi friend excel photograph , never tri .","one day bought simpl , high qualiti , camera .","from day , lar shot imag natur everi day .",lar fell love photographi .,lar hate photographi .,1
397,1ad78f7c-f5b0-4f1a-a09c-1223e6ed015e,I bought televis electron store .,It big flatscreen high definit qualiti pictur .,the employe convinc buy warranti case .,A week later televis fell wall broke .,I abl fix warranti .,the employe later found dead .,1
398,4a4ba70e-d51c-4574-b3f1-42675bef0059,ryan park .,and saw littl girl hold balloon .,"As leav park , saw balloon stuck tree .",He climb tree retriev balloon .,ryan pop balloon purpos .,ryan found girl gave balloon lost .,2
399,5d2a39a0-b237-4184-bcfa-67d32f590daf,jen 's manag told need upload resum .,she realiz resum format properli .,she transfer content proper templat .,"ad inform latest job , updat resum .",then sent manag .,jen hate wash dish .,1
400,23d95ddb-64bd-461e-b5e6-426a8b77c108,neil tour citi fez .,He tast ethnic cuisin .,then went shop souvenir .,"fez great street perform well , note .",neil great time .,neil fez becam best friend .,1
401,f299c071-0f10-4051-9076-3af05bb94d25,I need take dog walk .,My neighborhood requir leash .,I look hous leash .,I could find .,I decid take dog back yard .,I let dog go insid hous .,1
402,10770264-1216-4bf9-a955-423d82dc6a92,"It bright , warm day .",So joe thought would nice take walk .,He decid walk local coffe shop .,"but halfway , start get tire .",So ran coffe shop .,joe regret go outsid .,2
403,558ffced-fc9e-428c-8b62-4227a8ecf556,jen wait packag day .,final saw up man walk door .,He deliv packag brought insid .,she open packag knife .,In box newborn babi .,jen found new coat insid packag .,2
404,5f27fb6f-f523-4220-a393-1fee45f744e0,frank want homework .,He want play video game instead .,frank 's parent told homework first .,frank threw tantrum got punish .,frank lost video game week .,frank got new game .,1
405,61b5d18b-450c-4fb7-9f50-47d9df3c22eb,timmi compet 3 point competit school .,the winner would chanc win $ 1000 colleg scholarship .,timmi practic shoot 3 pointer weekend .,He readi day competit arriv .,timmi competit .,timmi went drive rang day competit .,1
406,81959648-7d1f-4f5e-a960-50465d1c6faf,drake attend parti friday .,He discov wallet stolen coat .,"drake immedi call polic , wallet found .",drake confront host parti issu .,and host told n't know either .,drake told host want attend parti .,1
407,0a87c92f-e24d-48fb-b064-71e8c66d5f4b,bob discov truck flat tire .,He never chang tire .,He got tire jack iron .,He could n't remov bolt .,bob call someon fix flat tire .,bob drove truck market .,1
408,36c75e5c-8b93-4743-8104-122c769d1636,jack tire write email tablet comput .,He decid need invest laptop .,He research differ laptop found perfect one .,final buy .,now jack actual enjoy repli email .,jack use postal servic instead email .,1
409,bbc7c651-dd54-46ea-b057-7b001c105912,jake 's hair get bit long .,He job interview come .,He ask mother cut hair .,hi mother gave nice cut profession look haircut .,jake wash hand .,jake got job .,2
410,f884bcde-c243-4cfd-a9ad-3adeba0ef86a,sean came today .,"sam , sean , I play game .",they start get mad bad I .,they said I could n't play anymor I got better .,I realli hurt .,I realli pleas .,1
411,12e51e6c-e3a4-4982-90f6-ed093f9ff0b8,sarah want mail card .,she went post offic .,she paid stamp .,she put letter envelop .,sarah deliv letter .,sarah 's letter soon head destin .,2
412,4c58f47d-b444-4a16-a66b-553fc767130e,chuck tire work .,He close work .,He open forum chat cowork .,after nasti zoltar hit need break .,chuck decid quit job .,He felt compel get back work .,2
413,49701721-7d91-47c7-bed2-ad411562391f,bob use plastic groceri bag go shop .,"then , friend told plastic bad environ .",bob decid forego plastic bag .,bob invest reuseabl groceri bag .,bob use reusabl groceri bag go shop .,bob continu use plastic groceri bag go shop .,1
414,bd8d2a48-5146-413c-baf3-47d7b7c4e65c,joe need get portrait project .,He call local artist ask rate .,one artist reason rate .,joe made appoint artist portrait .,joe satisfi result .,the artist paint joe 's cat .,1
415,690b8307-74e5-42cb-a326-589b973bbe00,ann tri quit smoke .,she made sever attempt alway fail .,then appli nicotin patch help .,and help !,ann doubl amount cigarett smoke day .,ann abl quit smoke success .,2
416,709db57b-125c-4434-b58d-f543070d8a27,jen got sent aunt 's summer .,she hate thought away local librari summer .,she took book would go quickli .,when arriv aunt took special room home .,jen saw book burn fireplac .,the room full shelv book appeal girl .,2
417,82fb301a-8c53-4f8e-bde7-be9b27cfb34b,yesterday rob 's tooth clean .,He normal realli afraid dentist .,but 's cute new nurs offic .,So excit go .,rob felt refresh colonoscopi .,rob bum cute nurs n't day .,2
418,4010d4ae-e1f4-4348-8b20-91a774bf34ee,joe love eat dirt .,He would make mud pie everi chanc got .,He eat pie felt someth hard mouth .,joe bitten rock knock tooth .,joe want chew rock .,joe decid eat dirt .,2
419,2e9fd58f-6036-4008-8c0b-c7d70cc43d2e,rob never rollercoast .,rob 's friend offer free ticket six flag .,rob decid may well join .,they went wait long line .,rob gener friend .,rob 's friend thoughtless .,1
420,3329d95c-5a03-4d68-90b3-25ddba1e4c9e,carli wait sam call .,He promis friday .,It late saturday n't heard anyth .,final decid call .,sam answer phone .,carli order take-out phone .,1
421,6d0772be-9406-4257-af59-ab5f2e819e81,ami came home school birthday empti hous .,she upset everyon forgotten special day .,she walk sadli live room .,"suddenli , friend famili jump hide spot .",ami grin delight .,ami walk room left hous .,1
422,3e13600e-4a0f-42dd-876d-9741076fc465,pan tri hit appar reason .,"As mad I , I simpli defend punch .",she continu throw fist .,"In effort stop , I threw ground .",pan final stop .,I gave pan big hug .,1
423,8174138e-1a0a-45ce-9938-9777526902dd,becki cousin name ashley .,becki ashley use friend kid .,ashley start stupid grew .,she went jail steal tampon dollar store .,becki lost contact .,becki proud ashley .,1
424,16a5c03f-6538-4913-b51a-f20a560577eb,pam tom 's babi light sleeper .,their thoughtless neighbor often left dog outsid bark day .,"everi time pam got babi sleep , dog start bark .",pam fantas unleash dog would run away .,"one night , pam let cat insid home .","one night , pam decid releas dog .",2
425,bf8b9f77-692d-4873-a7e5-30dec273eb4d,may accept colleg fredonia .,she took bu new school .,she explor campu .,she love everyth saw .,she drop school .,she even like professor .,2
426,ae97dd54-084b-45d1-aa4e-eaad35b58cc8,mari need teeth pull .,she want dentist put sleep .,all could numb area novocain .,mari stare horror .,"after see express , dentist abl help mari .",mari left dentist great mood .,1
427,4aa68faa-46af-4c29-a5af-76920608e42e,ford proud high gpa .,He work everi even assign order improv .,ford 's friend warn miss fun .,"later life , ford becam success lawyer .",ford sad achiev much .,ford proud accomplish .,2
428,d6ead853-dd97-4d11-be64-7b93a24bffec,My wife say I lack passion .,that I n't mani hobbi interest .,I tri argu could n't .,I realiz right .,I decid chang .,I unmarri .,1
429,dfadf8eb-0782-46f5-b8d6-f03b68044e5e,nina want nice halloween costum .,but could afford anyth fanci .,she look hous idea .,then found great costum free .,nina bought toy .,nina excit .,2
430,4472cc41-5ca9-4e1f-9506-8db38e250cc5,veronika like hike wood .,one day trail found tree hous .,she climb ladder amaz stuff hous .,It fulli furnish furnitur blanket .,veronika like tree hous much .,veronika decid visit tree hous often .,2
431,a8d36862-b0e3-4147-82a3-6ada95cc4939,It beauti spring day earli march .,tracey decid go walk wood behind hous .,she heard woodpeck began look tree .,she trip root fell path .,tracey ran back home .,tracey shrug fall .,2
432,ea8b09e8-8999-449d-8c91-9716cf3880c3,bob realli thirsti want soda .,"unfortun , n't money .",bob walk ga station ask could soda .,the cashier ask money .,He said left ga station .,He decid go run .,1
433,a76f857c-34a6-4409-a2d5-1255ba6cf5e9,jim wait airport .,hi wife would hour .,He bore .,He decid catch book .,jim saw wife hour .,jim drove away wife show .,1
434,54ec0b0d-355e-484f-8554-315daf68fc44,joe realli want attend columbia univers .,"He work realli hard school , soccer team .",He got put wait list .,"although disappoint , tri best end .",joe still proud hard work .,joe decid n't want go colleg .,1
435,f5a85657-b572-43dc-adb4-b62c8d4d023d,gina 's friend tami folder n't want anyon els .,gina want one n't know buy one .,now tami new lisa frank trapper keeper .,gina jealou sinc want one .,gina check ebay found one could afford .,gina mow whole yard help anyon .,1
436,7c80498a-801e-4d4b-86f1-bfbea4247fb2,leah beauti christma tree hous .,"one day , left go store .","when return , tree knock .",her cat climb pull !,leah decid like tree floor better stand .,leah chastis cat .,2
437,968bf70b-55b0-49c9-9eb3-0e9c89043c72,peter use chair year .,It becom worn .,"He decid buy new , comfort chair .",when arriv peter happi .,peter thought might even comfort old one .,peter let dog use chair .,1
438,8bb526c3-f617-4311-a762-e38db6085589,rex get readi parti tonight .,He realiz n't prepar anyth guest eat chees .,rex run get baguett .,He slice thin even slice make easi eat .,rex went long journey across ocean .,everyon enjoy chees bread .,2
439,80898064-5c05-4245-aa6b-5c733567d5c5,ali alway take train get work day .,one day sick still went work .,she work hard day even took work home .,she got train fell asleep .,she lazi employe .,she miss stop take bu home .,2
440,c9e0ad92-16a3-4721-b221-bc7a7ea72195,the footbal team work hard season .,they everi game made championship .,there second left clock game tie .,the quarterback long pass receiv score .,the crowd boo team loudli .,the crowd stood seat applaud wildli .,2
441,4e5aa3fc-f0a5-4426-8fde-3229bbb1edb0,We live high rise build .,"one day wind strong , partli due height build .",the wind blew tree branch much wife could sleep .,the wind also knock internet cabl .,My wife I unhappi lose internet connect .,We love strong wind lack sleep .,1
442,2d825c0a-d7f1-40ea-bb9b-c8f68c10eba7,kate want buy new keyboard comput .,she save month afford good keyboard .,kate final went onlin order keyboard !,she wait excitedli day arriv .,then cancel order .,then keyboard arriv mail .,2
443,3f51b45f-8dfc-4020-ae9c-83dbe0c2009a,jon graduat colleg began job search .,He appli job field everi day .,"three week began , got call .",the person call ask would interest interview .,jon accept .,jon reject offer .,1
444,d60dae83-ad3c-452e-932d-5c5cfea16457,juli love read anyth could get hand .,most time spent librari .,her favorit librari staf miss watson .,miss watson saw juli 's love book offer job .,juli happili accept !,juli punch friend eye .,1
